ID,Monitoring,Year,DOY,Max_Depth,Latitude,Longitude,Date,Depth,Long,lagoslakei
MNPCA-82-0162-00-451/2004/126/8,MNPCA-82-0162-00-451,2004,126,8,45.25296148,-92.9453564,5/5/2004 0:00,0,-92.9453564,2680
MNPCA-82-0166-00-101/1988/124/11,MNPCA-82-0166-00-101,1988,124,11,44.90635338,-92.981446,5/3/1988 0:00,0,-92.981446,2220
MNPCA-82-0167-00-234/1988/134/25,MNPCA-82-0167-00-234,1988,134,25,45.07035109,-92.9744949,5/13/1988 0:00,0,-92.9744949,1934
MNPCA-83-0040-00-102/1994/165/4,MNPCA-83-0040-00-102,1994,165,4,43.9054,-94.6608,6/14/1994 0:00,0,-94.6608,1104
MNPCA-85-0011-01-102/2011/132/12,MNPCA-85-0011-01-102,2011,132,12,44.036234,-91.626799,5/12/2011 0:00,0,-91.626799,291
MNPCA-85-0011-02-101/1994/164/7,MNPCA-85-0011-02-101,1994,164,7,44.0421578,-91.6566917,6/13/1994 0:00,0,-91.6566917,338
MNPCA-86-0053-02-101/1996/156/26,MNPCA-86-0053-02-101,1996,156,26,45.19823399,-93.8543259,6/4/1996 0:00,0,-93.8543259,79
MNPCA-86-0063-00-101/2010/139/3,MNPCA-86-0063-00-101,2010,139,3,45.1659,-93.7908,5/19/2010 0:00,0,-93.7908,90941
MNPCA-86-0114-00-101/1995/131/21,MNPCA-86-0114-00-101,1995,131,21,45.07424852,-93.9714059,5/11/1995 0:00,0,-93.9714059,3528
MNPCA-86-0119-00-203/2018/143/15,MNPCA-86-0119-00-203,2018,143,15,45.22294242,-93.9433117,5/23/2018 0:00,0,-93.9433117,24352
MNPCA-86-0120-00-102/1990/155/25,MNPCA-86-0120-00-102,1990,155,25,45.20837673,-93.9964212,6/4/1990 0:00,0,-93.9964212,2584
MNPCA-86-0146-00-101/1991/157/18,MNPCA-86-0146-00-101,1991,157,18,45.3032741,-93.9046161,6/6/1991 0:00,0,-93.9046161,67
MNPCA-86-0178-00-101/2010/139/8,MNPCA-86-0178-00-101,2010,139,8,44.9925,-94.0041,5/19/2010 0:00,0,-94.0041,3766
MNPCA-86-0183-00-201/1992/129/12,MNPCA-86-0183-00-201,1992,129,12,45.38306191,-94.015993,5/8/1992 0:00,0,-94.015993,2755
MNPCA-86-0190-00-101/1996/137/6,MNPCA-86-0190-00-101,1996,137,6,45.0252,-94.0472,5/16/1996 0:00,0,-94.0472,3384
MNPCA-86-0199-00-201/2005/146/11,MNPCA-86-0199-00-201,2005,146,11,45.07234071,-94.069342,5/26/2005 0:00,0,-94.069342,2576
MNPCA-86-0223-00-201/1995/128/9,MNPCA-86-0223-00-201,1995,128,9,45.30802467,-94.027523,5/8/1995 0:00,0,-94.027523,2913
MNPCA-86-0227-00-210/2009/162/30,MNPCA-86-0227-00-210,2009,162,30,45.26526071,-94.0614025,6/11/2009 0:00,0,-94.0614025,4011
MNPCA-86-0229-00-201/1991/157/9,MNPCA-86-0229-00-201,1991,157,9,45.26386938,-94.0266678,6/6/1991 0:00,0,-94.0266678,3434
MNPCA-86-0230-00-201/1991/157/9,MNPCA-86-0230-00-201,1991,157,9,45.26386938,-94.0266678,6/6/1991 0:00,0,-94.0266678,3434
MNPCA-86-0233-00-101/1986/155/21,MNPCA-86-0233-00-101,1986,155,21,45.31747196,-94.0392046,6/4/1986 0:00,0,-94.0392046,2086
MNPCA-86-0234-00-101/1996/141/10,MNPCA-86-0234-00-101,1996,141,10,45.32198831,-94.1021893,5/20/1996 0:00,0,-94.1021893,3069
MNPCA-86-0238-00-201/2010/139/20,MNPCA-86-0238-00-201,2010,139,20,45.358444,-94.056534,5/19/2010 0:00,0,-94.056534,91905
MNPCA-86-0243-00-201/2011/164/11,MNPCA-86-0243-00-201,2011,164,11,45.33014481,-94.1128524,6/13/2011 0:00,0,-94.1128524,27432
MNPCA-86-0251-00-205/2005/146/22,MNPCA-86-0251-00-205,2005,146,22,45.27492022,-94.1246966,5/26/2005 0:00,0,-94.1246966,3835
MNPCA-86-0252-01-201/1981/138/21,MNPCA-86-0252-01-201,1981,138,21,45.30060628,-94.1182212,5/18/1981 0:00,0,-94.1182212,2572
MNPCA-86-0252-02-207/1981/126/21,MNPCA-86-0252-02-207,1981,126,21,45.30060628,-94.1182212,5/6/1981 0:00,0,-94.1182212,2572
MNPCA-86-0263-00-101/1979/122/16,MNPCA-86-0263-00-101,1979,122,16,45.10854462,-94.1627005,5/2/1979 0:00,0,-94.1627005,1534
MNPCA-86-0271-00-201/2010/139/13,MNPCA-86-0271-00-201,2010,139,13,45.225997,-94.233682,5/19/2010 0:00,0,-94.233682,83667
MNPCA-86-0279-00-102/1990/155/25,MNPCA-86-0279-00-102,1990,155,25,45.2533086,-94.1929705,6/4/1990 0:00,0,-94.1929705,3467
MNPCA-86-0281-00-201/1981/127/14,MNPCA-86-0281-00-201,1981,127,14,45.31770018,-94.1964884,5/7/1981 0:00,0,-94.1964884,3996
MNPCA-86-0282-00-201/1981/126/13,MNPCA-86-0282-00-201,1981,126,13,45.30882277,-94.2493063,5/6/1981 0:00,0,-94.2493063,1762
MNPCA-86-0284-00-100/1981/126/25,MNPCA-86-0284-00-100,1981,126,25,45.30209357,-94.1648146,5/6/1981 0:00,0,-94.1648146,3078
MNPCA-86-0289-00-101/1990/155/25,MNPCA-86-0289-00-101,1990,155,25,45.2533086,-94.1929705,6/4/1990 0:00,0,-94.1929705,3467
MNPCA-86-0297-00-201/1981/127/7,MNPCA-86-0297-00-201,1981,127,7,45.27530722,-94.2579854,5/7/1981 0:00,0,-94.2579854,4176
MNPCA-86-0298-00-201/2009/129/11,MNPCA-86-0298-00-201,2009,129,11,45.25311687,-94.2605273,5/9/2009 0:00,0,-94.2605273,726
MNStudy619-21-0106-00-1/2007/151/33,MNStudy619-21-0106-00-1,2007,151,33,45.87478,-95.433809,5/31/2007 0:00,0,-95.433809,1295
MNStudy619-29-0075-00-1/2007/144/41,MNStudy619-29-0075-00-1,2007,144,41,47.159548,-94.757201,5/24/2007 0:00,0,-94.757201,3214
MNStudy619-73-0102-00-1/2007/155/37,MNStudy619-73-0102-00-1,2007,155,37,45.5462,-94.45,6/4/2007 0:00,0,-94.45,2221
MNDNR-34-0079-00-103/1995/129/34,MNDNR-34-0079-00-103,1995,129,34,45.2521,-94.9044,5/9/1995 0:00,0,-94.9044,2286
