"","site_id","parameter","z_score","p_value","L95","U95","Sensslope"
"56","nhdhr_{4336496C-8F08-4B89-A221-39BB041D792F}","df2$mean_surf_aug",0.953690261307508,0.340240451206571,-0.0164837400734422,0.0510912519754028,0.015612713677314
"57","nhdhr_{466ac1e5-7bd6-4907-a06c-e53fd1d3d270}","df2$mean_surf_aug",0.520194687985913,0.602927887352437,-0.0212644091299799,0.0354828927486824,0.00742624277767067
"58","nhdhr_{4819A36C-3B6E-4686-8BF5-39C60D5CB9CA}","df2$mean_surf_aug",2.83939600525644,0.00451990253320466,0.0180908116979963,0.0708355263001099,0.0494317753170607
"59","nhdhr_{482FE7E1-E95A-4A07-8FB8-47FAA4D19623}","df2$mean_surf_aug",0.151723450662558,0.879405060346173,-0.0299426895292546,0.0297686410574466,0.00177982102357399
"60","nhdhr_{484C35CD-69EB-4031-B15A-E9A5F10F3C44}","df2$mean_surf_aug",0.585219023984152,0.55840045476356,-0.0257626098448511,0.0382429858713742,0.00878189564941945
"61","nhdhr_{493B93E8-973D-46CF-800C-5B8868FC90B5}","df2$mean_surf_aug",0.411820794655515,0.680470778532187,-0.0291746609486201,0.0339963758589249,0.00625331122884151
"62","nhdhr_{4B1A725A-F5BA-46BF-90F2-65D1C8341A66}","df2$mean_surf_aug",0.455170351987674,0.648986688212116,-0.0264904574894631,0.0400800732530922,0.0077478788167382
"63","nhdhr_{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2}","df2$mean_surf_aug",1.08373893330399,0.278480567982138,-0.017597267674384,0.0535203014660398,0.0177534595870084
"64","nhdhr_{4F4AED7B-1AB2-4376-A801-33B491FB4AA8}","df2$mean_surf_aug",0.693592917314551,0.487937536718956,-0.0206767535524932,0.0433732734441603,0.0137365265082536
"65","nhdhr_{4F6A1C28-CFA9-45C9-B597-E2E6526275B8}","df2$mean_surf_aug",-0.108373893330399,0.913699109250318,-0.0401002028807289,0.0326172480751362,-0.00218663224806096
"66","nhdhr_{5064D81E-32BA-4D89-A222-B3784D5DDD5F}","df2$mean_surf_aug",-0.0650243359982392,0.9481546239301,-0.0388862308397119,0.0333958823741799,-0.00217111309827267
"67","nhdhr_{525F0C3B-81E7-4B72-8A8C-5190C42FE618}","df2$mean_surf_aug",0.888665925309268,0.374182649106997,-0.0167890080174909,0.0472428060099674,0.014847289275286
"68","nhdhr_{52C7BC0C-3F42-476D-A8C4-DCA278B0F657}","df2$mean_surf_aug",0.173398229328638,0.862338416815853,-0.0319182970773153,0.0293103457155448,0.00329913010718267
"69","nhdhr_{5327C67E-28CE-4457-8446-23405DD06E7E}","df2$mean_surf_aug",0.73694247464671,0.461157332676863,-0.0218565982741074,0.0426290800287414,0.0119230616425327
"70","nhdhr_{534E9BB3-278B-4CF0-A03F-A7C44EBD8069}","df2$mean_surf_aug",0.563544245318073,0.573064340385718,-0.0231766180619602,0.0373591394856588,0.00877525977110045
"71","nhdhr_{54E12CCD-3789-4C2F-B36B-173D3BD012EE}","df2$mean_surf_aug",-0.845316367977109,0.39793422470267,-0.0372800294809555,0.0187295327186464,-0.0109752170119401
"72","nhdhr_{5666414C-6354-4B57-B6BE-6AEAEE65C03E}","df2$mean_surf_aug",1.04038937597183,0.298159035545812,-0.0181019125006164,0.0494455898471891,0.0186934837852395
"73","nhdhr_{58F1100D-3D5B-499B-BB16-D5EFB1F00A61}","df2$mean_surf_aug",0.455170351987674,0.648986688212116,-0.0277642707691914,0.034197696831895,0.00713465448007159
"74","nhdhr_{5af9a17a-e084-48d1-ae08-28b6ff6bfc5a}","df2$mean_surf_aug",0.433495573321594,0.664654781308215,-0.0241444341143158,0.0365008795075423,0.00809783520754509
"75","nhdhr_{5C350795-D34E-4B1F-93B9-A573C318E6C5}","df2$mean_surf_aug",1.2788119412987,0.200963287814266,-0.00872210070991386,0.0548004566806638,0.0199952965046489
"76","nhdhr_{5D419BE5-B8C7-491B-9ACC-881CA2724700}","df2$mean_surf_aug",0.368471237323355,0.712521888102211,-0.029093095769506,0.042853974413901,0.0081397733589061
"77","nhdhr_{5f28e125-17d4-417d-a2dc-fd832b6dda42}","df2$mean_surf_aug",0.671918138648471,0.501635812274578,-0.0192993037538744,0.0424426007188884,0.00883782645309736
"78","nhdhr_{5FA8DD67-DEC0-4B17-B87B-A0AF254460D8}","df2$mean_surf_aug",0.390146015989435,0.696428577695435,-0.0304518168372867,0.0364584299740148,0.00761133588278634
"79","nhdhr_{605E6564-B61C-40B6-AA73-84AD7C054153}","df2$mean_surf_aug",0.303446901325116,0.761549307418269,-0.0282374245359839,0.033961810761252,0.00434889067548512
"80","nhdhr_{60985d2f-6d3f-4e57-8d68-732aeb35ed53}","df2$mean_surf_aug",0.997039818639667,0.318745182627252,-0.0167261881029788,0.0433770796461232,0.0134933648037237
"81","nhdhr_{6099873A-96DC-4E84-AE47-105AD310663F}","df2$mean_surf_aug",0.390146015989435,0.696428577695435,-0.0256971605705566,0.0361595034342194,0.00525152458846482
"82","nhdhr_{61868B30-FEF4-40E3-B121-F0430D80D776}","df2$mean_surf_aug",0.455170351987674,0.648986688212116,-0.0259774795464436,0.0315588391814345,0.00676640295547024
"83","nhdhr_{62B48949-8CCC-4BA3-989E-AA1FE86C363D}","df2$mean_surf_aug",-0.411820794655515,0.680470778532187,-0.0485060301769659,0.0347374750542456,-0.00838915136510288
"84","nhdhr_{640CE24E-8436-4057-9A92-962EDB8CE228}","df2$mean_surf_aug",0.0650243359982392,0.9481546239301,-0.0321343189113556,0.0283799896324416,0.000749651098771752
"85","nhdhr_{6430B8B3-C1FF-4A0B-B38E-FB26F9426BA2}","df2$mean_surf_aug",1.2788119412987,0.200963287814266,-0.0141980955523192,0.0512254039737574,0.019074456466724
"86","nhdhr_{65974C9C-979C-4650-A573-6D2F5B407C85}","df2$mean_surf_aug",0.541869466651993,0.587908432210903,-0.0278187903546083,0.0367467144598764,0.00855848748475358
"87","nhdhr_{6A19CBA5-B6A8-4980-9ABF-475531ADB4B0}","df2$mean_surf_aug",1.21378760530046,0.224828840615702,-0.0127841582684233,0.0480288992467053,0.0185113202764223
"88","nhdhr_{6A9DADF0-BAA0-4FF8-948E-5C142BA62266}","df2$mean_surf_aug",1.92905530128109,0.0537239972632164,-3.50169228773289e-05,0.0570527349831491,0.0308740522561831
"89","nhdhr_{6C2A229E-BDF8-4411-AFB6-97A2D1AEDE43}","df2$mean_surf_aug",-0.108373893330399,0.913699109250318,-0.0344016843409463,0.0314676853697912,-0.0012545444754587
"90","nhdhr_{6E1B7283-E3E4-4808-B8A2-34926D5E9358}","df2$mean_surf_aug",-0.216747786660797,0.828404904759906,-0.0347373774232494,0.0292343906778194,-0.0050052623025211
"91","nhdhr_{6E373F1B-D770-450D-A32A-04B58F734DEA}","df2$mean_surf_aug",-0.281772122659036,0.778118248050651,-0.037539551032837,0.033083266929645,-0.00438186484236119
"92","nhdhr_{713C9D50-37A8-4B3E-852D-8C5783C02B2C}","df2$mean_surf_aug",-0.0216747786660797,0.982707382754605,-0.030696776437448,0.031516992449244,-0.000658548804487172
"93","nhdhr_{729B2DA1-7D37-415A-A5FA-3E234EDACF48}","df2$mean_surf_aug",-0.173398229328638,0.862338416815853,-0.042508796040097,0.0359337885229866,-0.0026511786698407
"94","nhdhr_{741422E3-D790-4D6A-BF7D-CE4C6BFC7684}","df2$mean_surf_aug",0.368471237323355,0.712521888102211,-0.0267391593285302,0.0379452784739107,0.00540314597975685
"95","nhdhr_{7938DB39-54C9-4842-9D44-3255A8437585}","df2$mean_surf_aug",-0.303446901325116,0.761549307418269,-0.0375307877474067,0.0280766427191158,-0.0055501981123904
"96","nhdhr_{7A11621A-A995-464E-A48F-6CDD52F29591}","df2$mean_surf_aug",0.325121679991196,0.745088981270939,-0.0244090452833457,0.0362975733784771,0.00620003292460092
"97","nhdhr_{7AA591F6-6C22-4D85-9C94-54AC457B26D5}","df2$mean_surf_aug",0.520194687985913,0.602927887352437,-0.0255582073747735,0.0429607781191074,0.0104701585912521
"98","nhdhr_{7BCB20A9-3A11-4171-8678-29A20BD15587}","df2$mean_surf_aug",0.260097343992957,0.794788686628458,-0.0296732998887574,0.0340958654161468,0.00516861942370065
"99","nhdhr_{7CE3C33B-ACE5-4C1A-96BC-31EF1E50CD70}","df2$mean_surf_aug",-0.0866991146643189,0.930910680164664,-0.0332699482730274,0.0279259790869647,-0.00313642169616541
"100","nhdhr_{818000B9-77BF-4211-A6D6-8F0E5F8684AF}","df2$mean_surf_aug",0.216747786660797,0.828404904759906,-0.0295246030186792,0.0333187190022389,0.0036969345689684
"101","nhdhr_{820B0DD5-51F5-4C99-AB26-F63B5612E309}","df2$mean_surf_aug",1.04038937597183,0.298159035545812,-0.0169092603190823,0.0540980180290915,0.0176804869182434
"102","nhdhr_{841284C2-FE38-48DE-971D-2C886C0A7F72}","df2$mean_surf_aug",0,1,-0.0316622025267462,0.033670765333985,0.000780976747922001
"103","nhdhr_{843D304E-5A21-4C2C-BA06-0B2BAC35AB5E}","df2$mean_surf_aug",0,1,-0.0354692634390201,0.029894440861183,0.000365681118754787
"104","nhdhr_{8446DDA2-BF73-48CD-9C6E-812880A7DFC9}","df2$mean_surf_aug",-0.130048671996478,0.896527918948299,-0.0347532940633371,0.029236513848543,-0.0034835783162106
"105","nhdhr_{88374465-DA2B-47F8-BFC6-002E7DF1353E}","df2$mean_surf_aug",0.411820794655515,0.680470778532187,-0.0259634717039366,0.0360994223034308,0.00627316217021471
"106","nhdhr_{8858ABAA-A655-4263-B818-CB52811FCA17}","df2$mean_surf_aug",0.563544245318073,0.573064340385718,-0.0280765553949785,0.0352836934747192,0.00757699921025221
"107","nhdhr_{891BE9E5-DA0A-45AB-BB45-5F0FC63A39C7}","df2$mean_surf_aug",0.73694247464671,0.461157332676863,-0.0190401089976657,0.044353999414731,0.014542846324379
